"Skóre","Datum a čas"
"0","2023-04-02-17-37-31"
"8","2023-04-02-17-37-31"
"8","2023-04-02-17-37-31"
"0","2023-04-02-17-55-24"
"0","2023-04-02-17-55-24"
"0","2023-04-02-17-55-24"
"1","2023-04-02-17-55-24"
"1","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"1","2023-04-02-17-57-12"
"3","2023-04-02-17-57-12"
"3","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
"0","2023-04-02-17-57-12"
